"Basin","split","GenAI-TFs_NSE","GenAI-TFs_KGE","Default-mHM-TFs_NSE","Default-mHM-TFs_KGE","LSTM_NSE","LSTM_KGE"
9304090,"Training",0.658926105292535,0.710066127678838,0.680107175586569,0.770129056938353,0.798023045063019,0.670519291614719
9304091,"Validation",0.755702213,0.689823152,0.719951340219322,0.642800212755786,0.726043164730072,0.726425600262324
9304102,"Training",0.595829843954637,0.592835837772051,0.506347648320489,0.566826077744079,0.925809323787689,0.871056251489139
9304105,"Training",0.204189983371292,0.280095868134981,0.439963877986045,0.2344437070994,0.861819505691528,0.775754094854421
9304130,"Validation",0.671535131,0.712997054,-0.283389807139327,0.32061872619646,0.254849255084991,0.567393800345431
9304134,"Validation",0.637676381,0.693618821,0.344373193467643,0.442892227578005,-0.0313465595245361,0.0841373660835339
9304136,"Validation",0.580260834,0.546162144,-0.805078768676358,-0.257892783999384,0.386902391910553,0.401147356927173
9305022,"Validation",0.587869504,0.630352823,0.628197599591568,0.730560613974352,0.541968464851379,0.473367959378121
9305024,"Validation",0.713163016,0.67015486,0.749045330092218,0.824830316781867,0.518449664115906,0.522039883814087
9305043,"Validation",0.746810123,0.710651334,0.457829902663547,0.566547519961418,0.145120143890381,0.212559317748972
9305044,"Validation",0.718324612,0.715806547,0.611984267454085,0.690602738641859,0.513787150382996,0.39906517176198
9305055,"Validation",0.022994206,0.540555669,0.134774265791386,0.530509687028232,0.057843804359436,0.263098133308393
9305064,"Validation",0.724671385,0.623597931,0.010160217818003,0.383105304890917,0.536270618438721,0.40031540438514
9305065,"Validation",0.087415365,0.47415221,-1.71358920587014,-0.325375581522434,-0.00148093700408936,0.297918118592508
9305077,"Validation",0.34431934,0.650862526,0.189802576370679,0.555922443000388,0.729131281375885,0.831813332618214
9305105,"Training",0.317734925194628,0.390749476643532,0.444511700541546,0.148209068928162,0.930685520172119,0.928843068724423
9305107,"Validation",0.693685523,0.561829629,0.626417026470345,0.729498493514174,0.515506744384766,0.397528703194055
9305111,"Training",0.560889718445561,0.479608802725391,0.464002133591189,0.507620590557586,0.549257397651672,0.684696683421944
9305116,"Training",-0.235481292213559,0.555495462115268,0.086015512536076,0.535963579563467,0.906621217727661,0.925910745832543
9305128,"Validation",0.371382338,0.408753986,0.48481670734787,0.702265196143166,0.537914097309113,0.611005255842535
9305131,"Training",0.751235880264634,0.743847090542427,0.780589288863844,0.76157541141071,0.91855376958847,0.95102883785586
9305138,"Validation",0.795060058,0.729756255,0.739475075289051,0.798266047626121,0.675559818744659,0.542796403825357
9305142,"Validation",0.657613465,0.770606185,0.654543180199446,0.75477429962103,0.709387421607971,0.60814395335887
9305145,"Validation",0.752780489,0.802504154,0.763412909080624,0.862529786632172,0.78595769405365,0.809316999238442
9315010,"Validation",0.679138438,0.57009975,0.783133038836722,0.862043790240451,0.731204032897949,0.630741461154591
9315014,"Training",0.649664536315112,0.544223542480427,0.820121408400726,0.661443999157893,0.876989126205444,0.840542544162546
9315015,"Validation",0.618649036,0.551909364,0.591650906914919,0.447941638804928,0.679705739021301,0.589379056140605
9316003,"Validation",0.681150271,0.751655478,-1.45304899727445,-0.476960355433328,0.677611112594604,0.634613456398148
9316008,"Validation",0.720198134,0.703058248,-0.190221919555124,0.18925681197877,0.728898882865906,0.813378245116826
9316014,"Training",0.844269920348276,0.676155112603059,0.794370139507621,0.730964126133202,0.944386065006256,0.942730731673428
9316018,"Training",0.813626822990119,0.625834541067109,0.849755865134288,0.684742104192167,0.876086056232452,0.865834299897088
9316023,"Training",0.731638754973823,0.593328201612351,0.738974885994136,0.647841810644258,0.879751741886139,0.837101644475305
9316037,"Validation",0.64272167,0.530228437,0.724801782168874,0.647271828390963,0.783365726470947,0.787365796589428
9316051,"Training",0.512257534310081,0.621675539000202,0.535037112895097,0.648718544363656,0.893615961074829,0.87669057700211
9316052,"Validation",0.74386648,0.767644942,0.146066030234264,0.286379450600156,0.715993046760559,0.72963509047877
9316094,"Validation",0.629105625,0.717021115,0.545041920746269,0.736478044419325,0.477196156978607,0.612351658204869
9316095,"Validation",0.665793002,0.648375393,0.716231573954132,0.801383592428811,0.687215209007263,0.801869804558748
9316097,"Validation",0.649684546,0.625460397,0.684546320755234,0.715906066257044,0.762662291526794,0.645251889303075
9316109,"Validation",0.644168001,0.562437687,0.708899873052382,0.657235243136858,0.823575615882874,0.757235353342061
9316135,"Validation",0.678377312,0.838498103,-0.630821954002078,0.0131557892119426,0.631048798561096,0.744660286433529
9316136,"Validation",0.70821587,0.615967656,0.782450773337665,0.758056272858186,0.795930922031403,0.729574856496678
9316138,"Training",0.815766223188628,0.758576553647239,0.737492526524792,0.702862330266016,0.85944938659668,0.850022220022163
9316146,"Training",0.631066955705309,0.684697452395697,0.827638546604552,0.782795389453676,0.879716634750366,0.820052956317787
9316152,"Validation",0.73031559,0.708225794,0.564773385995469,0.675159248016007,0.852165341377258,0.848595113219108
9316154,"Training",0.586072507664076,0.834887819461316,0.835929158081385,0.898903425012948,0.949463129043579,0.924083778052066
